date,avg_fare
2024-12-31,19.123809523809523
2025-01-01,17.663785758637413
2025-01-02,19.096637707468904
2025-01-03,18.16569315068512
2025-01-04,17.61669011492413
2025-01-05,19.053785667638053
2025-01-06,18.322621371340308
2025-01-07,16.752821159941806
2025-01-08,16.221754743320975
2025-01-09,16.598833298403182
2025-01-10,16.954943225645135
2025-01-11,15.85753234508031
2025-01-12,17.31504243488472
2025-01-13,17.08406619432432
2025-01-14,16.428041812133248
2025-01-15,16.605769350425554
2025-01-16,17.13701350289428
